Name;URL;Author;Price;Number of Ratings;Average Rating
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World);https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T Kiyosaki;INR 199.00;2474;4.5 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;INR 25.00;36;4.2 out of 5 stars
Immortal Talks;https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1;Shunya;INR 249.00;519;4.8 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;INR 500.00;580;4.3 out of 5 stars
Mathematics for Class 10 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1;R.D. Sharma;INR 455.00;18;4.8 out of 5 stars
A Brief History of Modern India;https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;INR 265.00;133;4.2 out of 5 stars
The Monk Who Sold His Ferrari;https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;INR 170.00;2445;4.5 out of 5 stars
15 Years' Solved Papers JEE Main;https://www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1;Vikas Jain;INR 273.00;38;4.3 out of 5 stars
Harry Potter and the Philosopher's Stone;https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;INR 222.00;770;4.7 out of 5 stars
Indian Economy;https://www.amazon.in/Indian-Economy-Ramesh-Singh/dp/9352606140?_encoding=UTF8&psc=1;Ramesh Singh;INR 440.00;336;3.8 out of 5 stars
Environment;https://www.amazon.in/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1;Shankar;INR 375.00;392;4.2 out of 5 stars
Indian Art and Culture;https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1;Nitin Singhania;INR 320.00;123;4.5 out of 5 stars
Origin: Number 5 of the Robert Langdon Series;https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756?_encoding=UTF8&psc=1;Dan Brown;INR 379.00;807;4.0 out of 5 stars
The Theory of Everything;https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;INR 165.00;370;4.5 out of 5 stars
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi;https://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;INR 219.00;191;4.2 out of 5 stars
The Immortals of Meluha (Shiva Trilogy);https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1;Amish;INR 156.00;2179;4.6 out of 5 stars
1984;https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1;George Orwell;INR 98.00;472;4.4 out of 5 stars
RRB Group D Solved Papers and Practice Sets 2018;https://www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1;Arihant Experts;INR 139.00;10;4.3 out of 5 stars
Catalyst;https://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1;Chandramouli;INR 200.00;28;4.3 out of 5 stars
Certificate Physical and Human Geography;https://www.amazon.in/Certificate-Physical-Human-Geography-Cheng/dp/0195628160?_encoding=UTF8&psc=1;Goh Cheng Leong;INR 207.00;652;4.2 out of 5 stars
Man's Search for Meaning;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;INR 195.00;458;4.2 out of 5 stars
The Intelligent Investor (English) Paperback – 2013;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1;Benjamin Graham;INR 400.00;717;4.3 out of 5 stars
Wings of Fire: An Autobiography of Abdul Kalam;https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1;Arun Tiwari;INR 232.00;1835;4.6 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT;https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1;Arun Sharma;INR 475.00;228;4.2 out of 5 stars
Attitude Is Everything: Change Your Attitude ... Change Your Life!;https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1;Jeff Keller;INR 121.00;215;4.5 out of 5 stars
Diary of a Wimpy Kid: The Getaway (book 12);https://www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1;Jeff Kinney;INR 220.00;289;4.7 out of 5 stars
High School English Grammar and Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;D;INR 285.00;660;4.3 out of 5 stars
Mathematics for Class 9 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;R.D. Sharma;INR 355.00;9;4.9 out of 5 stars
Concepts of Physics 2;https://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1;H.C. Verma;INR 282.00;429;4.6 out of 5 stars
Zero to One: Note on Start Ups, or How to Build the Future;https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190?_encoding=UTF8&psc=1;Peter Thiel;INR 259.00;790;4.3 out of 5 stars
The Power of Habit: Why We Do What We Do, and How to Change;https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;INR 200.00;396;4.4 out of 5 stars
Inner Engineering: A Yogi’s Guide to Joy;https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;INR 173.00;829;4.7 out of 5 stars
Objective General English;https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;INR 185.00;1411;4.2 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X?_encoding=UTF8&psc=1;Manohar Pandey;INR 126.00;15;3.9 out of 5 stars
Thinking, Fast and Slow (Penguin Press Non-Fiction);https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1;Daniel Kahneman;INR 359.00;453;4.4 out of 5 stars
The 7 Habits of Highly Effective People;https://www.amazon.in/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1;R. Stephen Covey;INR 296.00;839;4.0 out of 5 stars
Exam Warriors;https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;Narendra Modi;INR 57.00;291;4.4 out of 5 stars
Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1;R.D. Sharma;INR 835.00;6;3.9 out of 5 stars
The Secret;https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;INR 490.00;1211;4.5 out of 5 stars
The Free Voice: On Democracy, Culture and the Nation;https://www.amazon.in/Free-Voice-Democracy-Culture-Nation/dp/9387164780?_encoding=UTF8&psc=1;Ravish Kumar;INR 399.00;36;4.6 out of 5 stars
Picture Books Collection for Early Learning;https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1;E C Axus;INR 230.00;94;4.0 out of 5 stars
Objective NCERT at your Fingertips - Biology;https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;MTG Editorial Board;INR 565.00;176;4.7 out of 5 stars
Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey, set in mythological times;https://www.amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585?_encoding=UTF8&psc=1;Amish Tripathi;INR 217.00;1509;4.2 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude;https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;INR 337.00;176;4.3 out of 5 stars
Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination;https://www.amazon.in/Pathfinder-National-Defence-Entrance-Examination/dp/9312146734?_encoding=UTF8&psc=1;Arihant Experts;INR 374.00;17;4.1 out of 5 stars
Pregnancy Notes: Before, During & After;https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 112.00;139;3.9 out of 5 stars
This Is Not Your Story;https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1;Savi Sharma;INR 107.00;1877;4.5 out of 5 stars
Harry Potter and the Chamber of Secrets (Harry Potter 2);https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666?_encoding=UTF8&psc=1;J.K. Rowling;INR 315.00;379;4.6 out of 5 stars
Don't Lose Your Mind, Lose Your Weight;https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 130.00;819;4.5 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1;Dale Carnegie;INR 99.00;1822;4.5 out of 5 stars
An Era of Darkness: The British Empire in India;https://www.amazon.in/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1;Shashi Tharoor;INR 437.00;317;4.5 out of 5 stars
To Kill a Mockingbird;https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;INR 230.00;1044;4.3 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET;https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Arihant Experts;INR 238.00;26;4.0 out of 5 stars
Who Will Cry When You Die?;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;INR 151.00;2419;4.4 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;INR 205.00;73;4.3 out of 5 stars
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017);https://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1;Disha Experts;INR 290.00;139;4.1 out of 5 stars
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future;https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;INR 323.00;535;4.6 out of 5 stars
Homo Deus: A Brief History of Tomorrow;https://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931?_encoding=UTF8&psc=1;Yuval Noah Harari;INR 386.00;165;4.5 out of 5 stars
The Secret Of The Nagas (Shiva Trilogy-2);https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;Amish Tripathi;INR 174.00;1480;4.6 out of 5 stars
23 Year's Chapterwise Solved Questions General Studies Paper I;https://www.amazon.in/Chapterwise-Solved-Questions-General-Studies/dp/9312142054?_encoding=UTF8&psc=1;Arihant Experts;INR 197.00;15;3.9 out of 5 stars
RRB Group D Guide Hindi 2018;https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Arihant Experts;INR 161.00;10;3.8 out of 5 stars
Introductory Micro Economics for Class 12 (For 2019 Examination);https://www.amazon.in/Introductory-Micro-Economics-Class-Examination/dp/8193647904?_encoding=UTF8&psc=1;Sandeep Garg;Not available;Not available;Not available
Why I Am a Hindu;https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1;Dr. Shashi Tharoor;INR 469.00;102;3.6 out of 5 stars
One Indian Girl;https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147?_encoding=UTF8&psc=1;Chetan Bhagat;INR 87.00;3949;3.6 out of 5 stars
Principles and Practices of Banking;https://www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1;IIBF;INR 490.00;190;4.5 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;INR 212.00;73;3.9 out of 5 stars
Accounting and Finance for Bankers;https://www.amazon.in/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1;Med;INR 380.00;191;4.5 out of 5 stars
History of Modern India;https://www.amazon.in/History-Modern-India-BIPAN-CHANDRA/dp/8125036849?_encoding=UTF8&psc=1;BIPAN CHANDRA;INR 256.00;602;4.0 out of 5 stars
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom;https://www.amazon.in/Official-Cambridge-Guide-Students-Answers/dp/110744277X?_encoding=UTF8&psc=1;Pauline Cullen;INR 556.00;198;4.2 out of 5 stars
She Friend - Zoned My Love;https://www.amazon.in/She-Friend-Zoned-My-Love/dp/9385990004?_encoding=UTF8&psc=1;Sudeep Nagarkar;INR 149.00;Not available;Not available
New Simplified Physics : A Reference Book for Class 12 for 2019 Examination (Set of 2 Volumes);https://www.amazon.in/New-Simplified-Physics-Reference-Examination/dp/B00KILPXEE?_encoding=UTF8&psc=1;S.L. Arora;INR 975.00;97;4.3 out of 5 stars
Believe in Yourself;https://www.amazon.in/Believe-Yourself-Dr-Joseph-Murphy/dp/8183225098?_encoding=UTF8&psc=1;Dr. Joseph Murphy;INR 72.00;318;4.0 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;INR 263.00;77;4.2 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;INR 1,129.00;12;3.8 out of 5 stars
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition);https://www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1;IIBF;INR 365.00;189;4.4 out of 5 stars
Grandma's Bag of Stories;https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623?_encoding=UTF8&psc=1;Sudha Murty;INR 200.00;441;4.4 out of 5 stars
Relativity: The Special and the General Theory (Routledge Classics);https://www.amazon.in/Relativity-Special-General-Routledge-Classics/dp/9380914229?_encoding=UTF8&psc=1;Albert Einstein;INR 158.00;336;4.3 out of 5 stars
Three Thousand Stitches: Ordinary People, Extraordinary Lives;https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1;Sudha Murty;INR 138.00;157;4.4 out of 5 stars
Secondary School Mathematics for Class 10 (for 2019 Examination);https://www.amazon.in/Secondary-School-Mathematics-Class-Examination/dp/9350271818?_encoding=UTF8&psc=1;R.S. Aggarwal;INR 376.00;9;4.4 out of 5 stars
16 Year's Solved Papers Karnataka CET Engineering Entrance;https://www.amazon.in/Solved-Papers-Karnataka-Engineering-Entrance/dp/9312142550?_encoding=UTF8&psc=1;Arihant Experts;INR 202.00;4;4.7 out of 5 stars
Introductory Macro Economics for Class 12 (For 2019 Examination);https://www.amazon.in/Introductory-Macro-Economics-Class-Examination/dp/8193647939?_encoding=UTF8&psc=1;Sandeep Garg;INR 285.00;Not available;Not available
Peppa Pig: Fairy Tale Little Library;https://www.amazon.in/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1;Lauren Holowaty;INR 149.00;210;3.9 out of 5 stars
Bharat 2018;https://www.amazon.in/Bharat-2018-Publication-Division/dp/8123027613?_encoding=UTF8&psc=1;Publication Division;INR 231.00;12;3.9 out of 5 stars
Oxford School Atlas: India's Most Trusted Atlas;https://www.amazon.in/Oxford-School-Atlas-Indias-Trusted/dp/019946071X?_encoding=UTF8&psc=1;Oxford University;INR 240.00;116;4.5 out of 5 stars
India's Struggle for Independence: 1857-1947;https://www.amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1;Bipan Chandra;INR 208.00;679;4.3 out of 5 stars
